id,text,sentiment_original,sentiment_unified,dataset,dialect,sarcasm,source,split
SENT_012868,«#الناتو» مطمئن حيال #ترمب وأوباما يودع أوروبا بالاتفاق على التعاون https://t.co/a7H4PIuHHG#عكاظ https://t.co/pE52ybpQCw,neutral,neutral,ArSarcasm,msa,False,semeval,train
SENT_002063,نرفض تقييد حق الاعتصام وإعطاء سلطات مطلقة للأمن في منع التظاهر والمبالغة في العقوبات وتوسيع حرم منع التظاهر لا للقانون بصيغته الراهنة,NEG,negative,ASTD,unknown,unknown,ASTD,full
SENT_017429,#أحلام و #عادل_امام و العوكش | قصف منتصف الجبهة | هتموت من #الضحكhttps://t.co/0slN8YHEK1,negative,negative,ArSarcasm,egypt,True,semeval,train
SENT_014626,اكثر صورة ضحكتني اليووم #ترامب #السعودية #Trump #Santa #Christmas #WhiteChristmas https://t.co/u31F4XTUjz,neutral,neutral,ArSarcasm,egypt,True,semeval,train
SENT_002376,د أبو الفتوح: أنا مشروعي يمثل كل الوطن لأن الرئيس القادم يجب أن يكون رئيسا لكل المصريين بمختلف مرجعياتهم وافكارهم,OBJ,neutral,ASTD,unknown,unknown,ASTD,full
SENT_009634,بسمة أمل جديدة مع لذة العطاء,POS,positive,ASTD,unknown,unknown,ASTD,full
SENT_004273,شاهد - آخر كلام: لم يعد مجدياً أي حديث مع بشار,NEG,negative,ASTD,unknown,unknown,ASTD,full
SENT_004601,مشاهد من مسرح حكم الفرد الجزء الأول مقال اليوم في الشروق,OBJ,neutral,ASTD,unknown,unknown,ASTD,full
SENT_014661,#عيد_الأم #امي امي يا اجمل ما يبدأ بهِ يومي فَ سبحان من صنّع من دعواتكِ سعادةٌ لي لا تنتهي,positive,positive,ArSarcasm,msa,False,astd,train
SENT_012023,باااااااااااااااااطل ياولاد التيت :/ من مسيرة #المطرية #أنا_حازم #مرسي_رئيسي #ياخاين_ياسيسي #حتماً_سنعود,negative,negative,ArSarcasm,egypt,False,astd,train
SENT_019174,"RT @20fourMedia: #غوغل تُطلق حملة إعلانية ضخمة لهاتفها الجديد بيكسل""https://t.co/QtUma3Pzgh https://t.co/lMqtjEyOPw""",neutral,neutral,ArSarcasm,msa,False,semeval,test
